Nombre,Tipo
SANTA CRUZ,C
SANTA JUANA,C
SANTA MARÍA,C
SANTIAGO,C
SANTO DOMINGO,C
SIERRA GORDA,C
TALAGANTE,C
TALCA,C
TALCAHUANO,C
TALTAL,C
TEMUCO,C
TENO,C
TEODORO SCHMIDT,C
TIERRA AMARILLA,C
TILTIL,C
TIMAUKEL,C
TIRÚA,C
TOCOPILLA,C
TOLTÉN,C
TOMÉ,C
TORRES DEL PAINE,C
TORTEL,C
TRAIGUÉN,C
TREGUACO,C
TUCAPEL,C
VALDIVIA,C
VALLENAR,C
VALPARAÍSO,C
VICHUQUÉN,C
VICTORIA,C
VICUÑA,C
VILCÚN,C
VILLA ALEGRE,C
VILLA ALEMANA,C
VILLARRICA,C
VIÑA DEL MAR,C
VITACURA,C
YERBAS BUENAS,C
YUMBEL,C
YUNGAY,C
ZAPALLAR,C
AISEN,P
ANTARTICA CHILENA,P
ANTOFAGASTA,P
ARAUCO,P
ARICA,P
ASOCIACIÓN,P
AYSEN,P
BIO BIO,P
BIOBIO,P
CACHAPOAL,P
CAPITAN PRAT,P
CARDENAL CARO,P
CAUQUENES,P
CAUTIN,P
CHACABUCO,P
CHAÑARAL,P
CHILOE,P
CHILOÉ,P
CHOAPA,P
COLCHAGUA,P
CONCEPCIÓN,P
COPIAPÓ,P
CORDILLERA,P
COYHAIQUE,P
COYHAIQUE ,P
CURICÓ,P
DIGUILLÍN,P
EL LOA,P
ELQUI,P
GENERAL CARRERA,P
HUASCO,P
IQUIQUE,P
ISLA DE PASCUA,P
ITATA,P
LIMARI,P
LIMARÍ,P
LINARES,P
LLANQUIHUE,P
LOS ANDES,P
MAGALLANES,P
MAIPO,P
MAIPO ,P
MALLECO,P
MARGA MARGA,P
MARGA MARGA ,P
MELIPILLA,P
OSORNO,P
PALENA,P
PARINACOTA,P
PETORCA,P
PUNILLA,P
QUILLOTA,P
RANCO,P
SAN ANTONIO,P
SAN FELIPE,P
SAN FELIPE DE ACONCAGUA,P
TALAGANTE,P
TALCA,P
TAMARUGAL,P
TIERRA DEL FUEGO,P
TOCOPILLA,P
ULTIMA ESPERANZA,P
ÚLTIMA ESPERANZA,P
VALDIVIA,P
VALPARAÍSO,P
Aisén del Gral. Carlos Ibáñez del Campo,R
Antofagasta,R
Arica y Parinacota,R
Atacama,R
Biobío,R
Coquimbo,R
la Araucanía,R
Libertador Gral. Bernardo O´Higgins,R
Los Lagos,R
Los Ríos,R
Magallanes y de la Antártica Chilena,R
Maule,R
Ñuble,R
Metropolitana de Santiago,R
Tarapacá,R
Valparaíso,R
